Video Information,,,,,,,,,,Dolphin Information,,,,,,,,,,,,,,,,,,Vessel and Swimmer Information,,,,,,,,NOTES
Posted_Date,Interaction_Date,Encounter_No,Platform,Search_Term,Hashtags,Video_Length,Time_Point,Video_Quality,Video_Location,Dolphin_Presence,General_Location,BSS,DSS,Total_Min,Total_Max,Total_Best,Calves_Min,Calves_Max,Calves_Best,YoY_Min,YoY_Max,YoY_Best,Sex,Subgroups,Group_Cohesion,PDGBehav,HIBehav,Vessels_10m,Vessels_50m,PDVBehav,Vessel_Names,Swimmers_10,Swimmers_50,PDSBehav,IRC,
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:15,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RC,1,1,NP,NA,2,2,NP,D2,Dolphin swims directly underneath swimmer
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:20,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RC,1,1,NP,NA,2,2,TCH,"D1,D2",Encircles swimmers
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:25,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RT,1,1,NP,NA,2,2,TCH,"D1,H1",Rapid movement. Encircles swimmers
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:30,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RT,1,1,NP,NA,2,2,TCH,"D1,H1",Rapid movement. Encircles swimmers
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:35,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,HU,1,1,NP,NA,2,2,TCH,"D1,H1",Dolphin pushed head sideways into swimmer
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:40,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RT,1,1,NP,NA,2,2,TCH,"D1,H1",Encircles swimmers
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:45,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RT,2,2,NP,NA,2,2,NP,"D1,H1",Dolphin swims directly under swimmer
01/17/2024,NA,0007,FB,Icacos_Dolphins,#tiratepr#palominos#fajardo,0:54,0:50,3,BO,Y,Palominos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RT,2,2,NP,NA,2,2,TCH,"D1,H1",Encircles swimmers. Possible male dolphin (try to ID genitals later)
09/20/2023,NA,0008,FB,Icacos_Dolphins,#IcacosDolphins#PuertoRicoParadise,0:40,0:05,3,BO,Y,Icacos_WestBeach,1,0,2,2,2,1,1,1,0,0,0,UNK,1,0,TRV,NA,1,1,NP,NA,0,0,NA,D2,"Note that this appears to be the same interaction as 0004, but from another camera"
09/20/2023,NA,0008,FB,Icacos_Dolphins,#IcacosDolphins#PuertoRicoParadise,0:40,0:10,3,BO,Y,Icacos_WestBeach,1,0,3,3,3,1,1,1,0,0,0,UNK,1,1,RML,NA,1,1,NP,NA,0,0,NA,D2,Adults rubbing on mooring line
